Date,Open,Range,Volume,Log_Volume,Return_Percentage,3_Day_Avg_AdjClose(Delay),PriorDay_AdjClose,Adj_Close
4/4/2023,279.66,6.93,36859200,7.57,-1.83%,276.9944663,279.56,274.44
4/5/2023,268.29,6.03,51501500,7.71,-2.08%,277.2277223,274.44,268.72
4/6/2023,265.84,6.53,39765400,7.6,0.58%,274.242025,268.72,270.28
4/10/2023,268.23,9.52,39527900,7.6,2.01%,271.1496787,270.28,275.7
4/11/2023,277.24,6.64,31437800,7.5,-1.49%,271.5695497,275.7,271.6
4/12/2023,273.7,10.2,44625900,7.65,-2.48%,272.529236,271.6,264.87
4/13/2023,267.34,5.58,35361500,7.55,-0.12%,270.7231753,264.87,264.55
4/14/2023,265.04,6.63,39566000,7.6,1.12%,267.0043743,264.55,267.49
4/17/2023,265.65,5.73,32147100,7.51,0.91%,265.6348167,267.49,269.93
4/18/2023,275.33,7.53,60481200,7.78,2.46%,267.3242597,269.93,276.58
4/19/2023,273.61,7.68,35866000,7.55,0.95%,271.336304,276.58,279.22
4/20/2023,276.71,10.3,42771300,7.63,-2.96%,275.245046,279.22,270.95
4/21/2023,269.52,4.61,34510300,7.54,0.06%,275.5849303,270.95,271.1
4/24/2023,270.13,6.95,33928200,7.53,-0.28%,273.75885,271.1,270.33
4/25/2023,270.78,10.22,37852700,7.58,-2.96%,270.796468,270.33,262.33
4/26/2023,270.02,6.25,40633700,7.61,2.73%,267.9207357,262.33,269.47
4/27/2023,273.63,8.7,37716100,7.58,1.00%,267.3775633,269.47,272.17
4/28/2023,272.25,6.87,29168700,7.46,1.92%,267.9907123,272.17,277.4
5/1/2023,278.4,12.78,57032900,7.76,4.18%,273.015767,277.4,289.01
5/2/2023,286.8,7.53,40273000,7.61,-2.42%,279.527028,289.01,282.01
5/3/2023,278.4,8.95,38338700,7.58,-1.45%,282.805969,282.01,277.93
5/4/2023,276.51,6.19,32185000,7.51,-0.86%,282.9825847,277.93,275.53
5/5/2023,278.26,10.24,36101400,7.56,4.06%,278.490682,275.53,286.71
